,モニターID.11桁.,居住都道府県.参考.,居住エリア,年齢.5才刻み.,年齢.10才刻み.,世代,性別,性年代,メディアターゲット区分,未既婚,職業,職業.詳細.,職種,仕事環境,個人年収,X1ヶ月平均小遣い,最終学歴,家族人数,家族構成,世帯年収,家屋形態,生協加入有無,配偶者の同居有無,同居配偶者年齢.5才刻み.,同居配偶者年齢.10才刻み.,同居配偶者職業,末子年齢,家族人員.17才以下男子.,家族人員.17才以下女子.,家族人員.0.2才.乳児..,家族人員.3.5才.就学前児童..,家族人員.6.11才.小学生..,家族人員.12.14才.中学生..,家族人員.15.17才.高校生..,家族人員.65才以上.,自動車.自家用車保有.有無,同居子供人数.17才以下.,同居子供人数.14才以下.
0,50000203856,45,10,6,4,5,1,4,6,2,1,6,1,1,7,10,4,1,1,3,3,2,3,10,6,14,1,2,2,2,2,2,2,2,2,1,1,1
1,50000300858,22,6,10,6,3,2,12,4,1,6,11,12,7,10,4,3,6,4,5,1,1,1,9,5,5,1,2,2,2,2,2,2,2,1,1,1,1
2,50000245614,13,4,7,4,4,2,10,3,1,2,2,2,3,4,3,2,4,3,4,1,2,1,6,3,4,5,1,1,2,2,1,1,2,2,2,3,3
3,50000448787,14,4,6,4,5,2,10,3,1,5,9,9,5,1,3,2,3,3,2,3,2,1,5,3,4,6,1,2,2,2,2,1,2,2,1,2,2
4,50000193009,13,4,5,3,6,1,3,6,1,1,4,7,2,5,3,4,4,3,2,3,2,1,4,2,9,3,2,1,2,1,1,2,2,2,2,3,3
5,50000300091,44,10,10,6,2,2,12,4,1,6,11,12,7,10,3,2,2,2,1,1,1,1,9,5,13,1,2,2,2,2,2,2,2,1,1,1,1
6,50000167549,12,4,6,4,5,2,10,3,2,3,5,1,1,4,4,3,1,1,1,3,2,3,10,6,14,1,2,2,2,2,2,2,2,2,2,1,1
7,50000223851,22,6,6,4,5,2,10,3,1,1,4,7,2,2,3,6,4,3,2,1,1,1,8,4,4,7,1,2,2,2,2,2,1,2,1,2,1
8,50000349846,22,6,10,6,2,1,6,7,1,5,9,1,2,1,3,6,3,3,1,1,1,1,9,5,6,1,2,2,2,2,2,2,2,1,1,1,1
9,50000392547,19,3,9,5,3,1,5,7,1,2,2,1,2,8,3,6,3,3,5,1,2,1,6,3,5,4,2,1,2,2,1,2,2,2,1,2,2
